id;name;parentCategory;nameUrl
11;Kinkiety;Asortyment;11
12;Kinkiety świecznikowe;Kinkiety;12
13;Kinkiety klasyczne;Kinkiety;13
14;Kinkiety nowoczesne;Kinkiety;14
15;Kinkiety regulowane;Kinkiety;15
16;Kinkiety z abażurami;Kinkiety;16
17;Kinkiety biurowe;Kinkiety;17
18;Lampy wiszące;Asortyment;18
19;Lampy wiszące nowoczesne;Lampy wiszące;19
20;Lampy wiszące klasyczne;Lampy wiszące;20
21;Lampy wiszące ze szklanymi kloszami;Lampy wiszące;21
22;Lampy wiszące z abażurami;Lampy wiszące;22
23;Lampy wiszące w oplocie;Lampy wiszące;23
24;Lampy wiszące kuchenne;Lampy wiszące;24
25;Żyrandole z abażurami;Lampy wiszące;25
26;Żyrandole świecznikowe;Lampy wiszące;26
27;Żyrandole klasyczne;Lampy wiszące;27
28;Żyrandole retro;Lampy wiszące;28
29;Lampy wiszące regulowane;Lampy wiszące;29
30;Lampy z abażurami;Asortyment;30
31;Lampa abażur abstrakcyjne wzory;Lampy z abażurami;31
32;Lampa abażur dziecięca;Lampy z abażurami;32
33;Lampa abażur wzór miasta;Lampy z abażurami;33
34;Lampa abażur dla kuchni;Lampy z abażurami;34
35;Lampa abażur wzór kwiaty;Lampy z abażurami;35
36;Lampa abażur wzór paski;Lampy z abażurami;36
37;Lampa abażur wzór grochy;Lampy z abażurami;37
38;Lampa abażur PCV;Lampy z abażurami;38
39;Lampa abażur materiałowa;Lampy z abażurami;39
40;Lampy chromowane;Asortyment;40
41;Plafony chrom;Lampy chromowane;41
42;Lampy wiszące chrom;Lampy chromowane;42
43;Kinkiety chrom;Lampy chromowane;43
44;Lampy LOFT oraz Industrialne;Asortyment;44
45;Lampy kinkiety LOFT oraz Industrialne;Lampy LOFT oraz Industrialne;45
46;Lampy 1-płomienne LOFT oraz Industrialne;Lampy LOFT oraz Industrialne;46
47;Lampy 3-płomienne LOFT oraz Industrialne;Lampy LOFT oraz Industrialne;47
48;Lampy 5-płomienne LOFT oraz Industrialne;Lampy LOFT oraz Industrialne;48
49;Lampy sufitowe;Asortyment;49
50;Lampy sufitowe klasyczne;Lampy sufitowe;50
51;Lampy sufitowe nowoczesne;Lampy sufitowe;51
52;Lampy sufitowe ze szklanymi kloszami;Lampy sufitowe;52
53;Lampy sufitowe do salonu;Lampy sufitowe;53
54;Lampy sufitowe do sypialni;Lampy sufitowe;54
55;Lampy sufitowe biurowe;Lampy sufitowe;55
56;Zwisy wiszące;Asortyment;56
57;Zwisy wiszące pojedyncze nowoczesne;Zwisy wiszące;57
58;Zwisy wiszące pojedyncze industrialne;Zwisy wiszące;58
59;Zwisy wiszące pojedyncze klasyczne;Zwisy wiszące;59
60;Zwisy wiszące pojedyncze - kule chrom;Zwisy wiszące;60
61;Zwisy wiszące pojedyncze - kule kolorowe;Zwisy wiszące;61
62;Zwisy wiszące pojedyncze z abażurem;Zwisy wiszące;62
63;Zwisy wiszące pojedyncze młodzieżowe;Zwisy wiszące;63
64;Zwisy wiszące pojedyncze kuchenne;Zwisy wiszące;64
65;Zwisy wiszące pojedyncze regulowane;Zwisy wiszące;65
66;Zwisy wiszące pojedyncze dekoracyjne;Zwisy wiszące;66
67;Lampki stołowe nocne;Asortyment;67
68;Lampy podłogowe oraz stojące;Asortyment;68
69;Lampy dziecięce;Asortyment;69
70;Kinkiety dziecięce;Lampy dziecięce;70
71;Lampy wiszące dziecięce;Lampy dziecięce;71
72;Lampy sufitowe dziecięce;Lampy dziecięce;72
73;Plafony dziecięce;Lampy dziecięce;73
74;Źródła światła;Asortyment;74
75;Żarówki LED;Źródła światła;75
76;Żarówki halogenowe;Źródła światła;76
77;Żarówki dekoracyjne;Źródła światła;77
78;Plafony domowe oraz wewnętrzne;Asortyment;78
79;Plafony klasyczne ;Plafony domowe oraz wewnętrzne;79
80;Plafony nowoczesne;Plafony domowe oraz wewnętrzne;80
81;Plafony dziecięce;Plafony domowe oraz wewnętrzne;81
82;Plafony kolorowe;Plafony domowe oraz wewnętrzne;82
83;Reflektory sufitowe oraz spoty;Asortyment;83
84;Akcesoria do lamp;Asortyment;84
85;Klosze szklane;Akcesoria do lamp;85
86;Klosze metalowe;Akcesoria do lamp;86
87;Lampy ogrodowe;Asortyment;87
88;Style lamp;Asortyment;88
89;Lampy skandynawskie;Style lamp;89
90;Lampy glamour;Style lamp;90
91;Lampy minimalistyczne;Style lamp;91
92;Lampy art deco;Style lamp;92
93;Lampy rustykalne;Style lamp;93
94;Do pomieszczeń;Asortyment;94
95;Lampy do salonu;Do pomieszczeń;95
96;Lampy do łazienki;Do pomieszczeń;96
97;Lampy do biura;Do pomieszczeń;97
98;Lampy do sypialni;Do pomieszczeń;98
99;Lampy do jadalni;Do pomieszczeń;99
100;Według koloru;Asortyment;100
101;Niebieski;Według koloru;101
102;Biały;Według koloru;102
103;Czarny;Według koloru;103
104;Szary;Według koloru;104
105;Srebrny;Według koloru;105
106;Złoty;Według koloru;106
